,cosine1,cosine2,euclidean1,euclidean2,l21,l22,l11,l12,canberra1,canberra2,chebyshev1,chebyshev2,correlation1,correlation2
21180,-4.9706206,0.6914035,4.7149673,-0.8594768,4.7149673,-0.8594768,5.0683713,0.2849855,5.042717,0.003488923,-5.4970064,-3.2674863,-5.266432,1.6906811
21181,-6.08328,-0.46487677,5.7614045,0.3403212,5.7614045,0.3403212,5.3486753,1.8348794,5.306617,1.709017,-6.263963,-2.0940878,-6.147629,0.9046749
21182,-4.088827,1.4521228,3.9152608,-1.4739525,3.9152608,-1.4739525,4.5961742,-0.3058467,4.193236,-0.84385663,-4.6961026,-3.902015,-4.5423098,2.8300176
21183,-5.230708,0.13181683,4.6586766,-0.18506713,4.6586766,-0.18506713,4.775653,0.98197645,4.8735785,1.0083567,-4.6930146,-2.5533009,-4.6709986,1.7064142
21184,-4.4034944,1.5083467,4.4988174,-1.4349542,4.4988174,-1.4349542,5.553777,-0.117261544,5.2320304,-0.26230374,-5.109417,-3.6769896,-5.3274927,2.627942
21185,-5.9994755,0.77851003,5.8202457,-1.082332,5.8202457,-1.082332,6.341832,0.58128905,6.0127034,0.32471693,-6.1131506,-3.274141,-5.724412,2.8075788
21186,-3.7878375,-1.5069568,3.6646388,1.495502,3.6646388,1.495502,2.936945,2.223947,3.233503,2.0141275,-3.914026,-1.3632246,-3.6963515,-0.5616037
21187,-3.2815378,-0.72568053,3.097695,0.71059096,3.097695,0.71059096,2.7475781,1.3179572,3.1254637,1.0064626,-3.6653218,-2.250953,-3.3384082,0.44378585
21188,-3.8844857,-0.16314048,3.7507124,0.104376666,3.7507124,0.104376666,3.826361,1.147895,4.041654,0.78275603,-4.2975683,-2.6554415,-4.135827,1.2552817
21189,-5.4158983,-2.961972,5.5858994,2.7844791,5.5858994,2.7844791,4.1779566,3.8267133,4.5593824,3.507452,-5.6757627,0.7556831,-5.0160503,-2.512314
21190,-4.2106776,-0.1287147,4.122989,0.17313315,4.122989,0.17313315,4.0914016,1.2099029,4.061746,1.0736362,-4.7415495,-2.4440157,-4.387721,1.1188039
21191,-7.2794824,0.7582644,7.0440397,-0.9510726,7.0440397,-0.9510726,7.3527694,1.0484303,6.8650327,0.92350787,-7.2631946,-2.813418,-7.6983113,2.2246716
21192,-6.3137527,-1.5434593,6.2050347,1.5461828,6.2050347,1.5461828,5.335078,2.984151,5.630245,3.094394,-6.2614193,-0.7106887,-5.566444,-0.6607157
21193,-4.8437223,1.0771534,4.5565057,-1.1332366,4.5565057,-1.1332366,5.311828,0.0832847,4.9698734,-0.13843198,-4.8532825,-3.411297,-5.264299,2.5256004
21194,-4.622916,0.045811024,4.398322,-0.29692295,4.398322,-0.29692295,4.0468044,1.0146751,4.4883113,0.8279134,-5.255272,-2.8876712,-4.0675616,1.5354236
21195,-4.614653,-0.07335797,4.4014063,-0.115581684,4.4014063,-0.115581684,4.2454934,1.2366958,4.5703216,0.9447101,-5.2068453,-2.8462582,-4.2457643,1.5079905
