ObjectNumber,FA1,FA2,FP,FT1,FT2,FTM,NA1,NA2,NP,NT1,NT2,NTM,RR,Class,GROUP,DAY,CONDITION,PERCENTAGE,EFFICIENCY,cosine1,cosine2,euclidean1,euclidean2,l21,l22,l11,l12,canberra1,canberra2,chebyshev1,chebyshev2,correlation1,correlation2,DISH
70,74.063,25.937,493.186,233.002,2142.327,726.44,65.432,34.568,616.956,439.408,2557.694,1167.354,1.252,5,Day 1-100K,1,100K,0.62,Low,4.9028387,5.0739117,-5.209363,-4.3862853,-5.209363,-4.3862853,-3.0417984,-5.7099295,-3.5022528,-4.578289,3.891669,3.1955152,2.9467416,-2.9001913,1
48,73.192,26.808,496.899,259.448,2191.884,775.867,66.887,33.113,623.477,439.115,2622.676,1160.901,1.252,5,Day 1-100K,1,100K,0.62,Low,4.1254616,4.50477,-4.453487,-4.0136523,-4.453487,-4.0136523,-2.483356,-5.115133,-2.872896,-4.921387,3.758282,3.175237,2.187723,-2.2690766,1
58,74.067,25.933,458.73,240.969,2173.871,739.641,66.883,33.117,576.508,418.753,2505.055,1106.777,1.251,5,Day 1-100K,1,100K,0.62,Low,4.295966,4.026954,-4.836955,-3.5279298,-4.836955,-3.5279298,-2.8514032,-4.600103,-2.5390604,-4.320154,3.538438,3.5621781,2.301973,-2.3420994,1
12,71.806,28.194,446.904,264.707,2110.469,781.87,70.857,29.143,560.827,406.661,2418.016,986.328,1.25,4,Day 1-100K,1,100K,0.62,Low,2.42917,2.8828197,-3.6667979,-2.1981292,-3.6667979,-2.1981292,-0.5163634,-3.0454953,-0.9524076,-3.808526,3.9170136,4.505036,0.33783534,-1.0846103,1
87,73.164,26.836,551.833,240.091,2230.942,773.811,65.301,34.699,702.643,440.908,2524.235,1161.277,1.248,5,Day 1-100K,1,100K,0.62,Low,4.711314,5.528379,-5.058343,-5.0902886,-5.058343,-5.0902886,-2.7933812,-6.1185455,-3.6416214,-5.3232923,3.9903474,2.2647305,3.116638,-2.7644923,1
41,73.611,26.389,497.135,239.608,2188.116,750.336,66.527,33.473,617.712,414.795,2331.629,1047.693,1.243,5,Day 1-100K,1,100K,0.62,Low,4.284402,4.052185,-4.7834005,-3.5085266,-4.7834005,-3.5085266,-2.9194887,-4.5300326,-2.4080112,-4.116225,3.7643392,3.753693,1.9371026,-2.227819,1
17,73.475,26.525,522.604,257.664,2243.916,783.295,68.863,31.137,652.585,476.828,2582.438,1123.588,1.24,5,Day 1-100K,1,100K,0.62,Low,4.1930733,4.133835,-4.2971296,-3.7189474,-4.2971296,-3.7189474,-2.420184,-4.422507,-2.7353654,-4.642662,3.4193153,2.6170063,1.5633056,-1.5952233,1
129,73.177,26.823,696.855,266.321,2286.798,806.57,68.494,31.506,742.573,427.761,2572.729,1102.824,1.24,4,Day 1-100K,1,100K,0.62,Low,4.511569,4.668383,-4.8024297,-4.366768,-4.8024297,-4.366768,-2.652996,-4.9758983,-3.2459884,-5.0256147,2.6629145,2.8687556,0.77098805,-3.7458467,1
133,75.288,24.712,516.54,248.321,2200.306,729.515,64.63,35.37,626.598,454.995,2553.305,1195.597,1.239,5,Day 1-100K,1,100K,0.62,Low,4.845406,5.2645006,-5.0954795,-4.9454036,-5.0954795,-4.9454036,-3.0180593,-6.0227356,-3.664802,-5.055999,4.0235887,2.3955824,3.1183105,-2.8999305,1
66,72.918,27.082,482.48,262.335,2205.555,786.469,64.634,35.366,593.227,414.691,2476.944,1142.149,1.236,5,Day 1-100K,1,100K,0.62,Low,4.5859737,4.782951,-4.9212213,-4.174671,-4.9212213,-4.174671,-2.494354,-5.5162787,-2.8680034,-4.7202573,3.9449952,3.1901085,2.7081976,-2.575549,1
